"Wavelength","Rad_mean","Rad_sd"
350,0.000420551134593552,2.9053159340614e-05
351,0.000437166948977392,2.84403753588666e-05
352,0.000462104637699667,2.7467737079313e-05
353,0.000479822900233557,2.98096582202022e-05
354,0.000482330639497377,3.27391578224487e-05
355,0.000496171950217104,2.91860051173049e-05
356,0.000513479832734447,3.00885204793939e-05
357,0.000527693443145836,3.21155476173698e-05
358,0.000536291014868766,3.02548717173662e-05
359,0.000558248318266124,3.03266607564643e-05
360,0.000579798876133282,3.15506968573727e-05
361,0.000597623891371768,3.21759482911407e-05
362,0.000619806639879243,3.274841335663e-05
363,0.000640288797440007,3.24179049056158e-05
364,0.000660619553818833,3.33803823121223e-05
365,0.000681073066662066,3.45023776063397e-05
366,0.000697050022718031,3.3067706857494e-05
367,0.000714770821505226,3.29000908667202e-05
368,0.00073229985369835,3.46779102927337e-05
369,0.000746021773084067,3.59476231605715e-05
370,0.000756714908347931,3.52303989229291e-05
371,0.00076696427538991,3.5369197979058e-05
372,0.000775006098847371,3.65803945336235e-05
373,0.000777766139945015,3.46431926682602e-05
374,0.000783899627858773,3.39765619378227e-05
375,0.000792125075240619,3.48101037697002e-05
376,0.000800344045564998,3.61490131319699e-05
377,0.000806798389530741,3.57866446525199e-05
378,0.000814050939807203,3.55138617012167e-05
379,0.000823637715075165,3.56393420369154e-05
380,0.000834890320547856,3.55251001153346e-05
381,0.000841135433875024,3.65195712999279e-05
382,0.000848611466353759,3.70774909627916e-05
383,0.000859425958478823,3.82611103588721e-05
384,0.000872581956209615,3.8454358224226e-05
385,0.000884058783412911,3.60629648642398e-05
386,0.00090259783086367,3.69263681495898e-05
387,0.000928779680980369,4.05626025740768e-05
388,0.000951825483061839,4.29565068696977e-05
389,0.000973095014633145,4.13373787494095e-05
390,0.000995310494326986,4.03480157874688e-05
391,0.00102181047288468,4.34915920350513e-05
392,0.00105653696198715,4.42416229431245e-05
393,0.0010956915144925,4.59307821028005e-05
394,0.00113950600556564,4.94410942151617e-05
395,0.00119149903417565,5.12231538994806e-05
396,0.00126317923743045,5.06603186432165e-05
397,0.00134018692711834,5.24207922334729e-05
398,0.00141359805187676,5.67957210290314e-05
399,0.00148426954518072,5.82356919863738e-05
400,0.00155643505277112,5.88813943217986e-05
401,0.0016221913479967,6.1970130365517e-05
402,0.00167422380181961,6.73828884630288e-05
403,0.00171384984743781,6.70466156619958e-05
404,0.001748112772475,6.56429809602539e-05
405,0.00177636213600636,6.5833524259468e-05
406,0.00179571682121605,6.80240119259346e-05
407,0.00181006085535046,6.84328266554581e-05
408,0.00183124029252213,6.9498160744244e-05
409,0.00185943431046326,7.10501392476446e-05
410,0.00188320291868877,7.16593634179256e-05
411,0.00190790937864222,7.2336118867234e-05
412,0.00193307505280245,7.30205737552783e-05
413,0.00195693942252547,7.38814632502626e-05
414,0.00197777836932801,7.43735234930982e-05
415,0.00198889144347049,7.49830580614993e-05
416,0.00199424575956073,7.56772033914677e-05
417,0.00200157125364058,7.6527683244236e-05
418,0.00201194278430194,7.71722642426474e-05
419,0.00201726622530259,7.75061449278184e-05
420,0.0020166823733598,7.75168405950178e-05
421,0.00201714959344827,7.84321571635367e-05
422,0.0020128090120852,7.82867514217611e-05
423,0.0020066912524635,7.78558347801874e-05
424,0.00199957662611268,7.76495951195189e-05
425,0.00198191421630327,7.72851031411967e-05
426,0.00197038069542032,7.66689647943766e-05
427,0.00196618659188971,7.65840569736649e-05
428,0.0019657473830739,7.73147644442953e-05
429,0.00198245595733169,7.71089573760359e-05
430,0.00200615947309416,7.74915038249446e-05
431,0.00203522807103582,7.86831832508966e-05
432,0.00207993966410868,7.94141421388299e-05
433,0.00213182974257506,8.08453808576088e-05
434,0.00218345260538626,8.29905737039343e-05
435,0.00222975942946505,8.56217390560571e-05
436,0.00227149461978115,8.7125789055776e-05
437,0.00231090598448645,8.83406718594892e-05
438,0.00234926031902432,8.97771617391915e-05
439,0.00238742251647636,9.16798139083714e-05
440,0.00242877473239787,9.28693319471412e-05
441,0.00246612212620676,9.38964769057321e-05
442,0.0024986938026268,9.50273539877231e-05
443,0.00253643789736088,9.66134587300396e-05
444,0.00257302005076781,9.82916807196372e-05
445,0.00260474479116965,9.91020403468722e-05
446,0.00263280861021485,9.87099736193756e-05
447,0.00267392155015841,0.000100099648196505
448,0.00271334846445825,0.000101541873495547
449,0.00274713488295674,0.000102527453154088
450,0.00277947923401371,0.000103665673270457
451,0.00281000214745291,0.000104529137711595
452,0.00283395504346117,0.000105977058010982
453,0.00285152958473191,0.0001079105899055
454,0.00287241228041239,0.000107444159440241
455,0.00289739836007357,0.000107958102645669
456,0.00292368477443233,0.000108898317104311
457,0.00294808902544901,0.000109166245435671
458,0.00297592529561371,0.000110001372391384
459,0.00299856316763908,0.00011058846576654
460,0.00301339646335691,0.000111069504480675
461,0.00302445296896622,0.000112580994546029
462,0.0030308024934493,0.000111909362022836
463,0.003030672702007,0.000110930103461517
464,0.00302433594595641,0.000111098525145452
465,0.00301672374480404,0.00011011903830298
466,0.00301100134034641,0.000110280604414241
467,0.00301050582551397,0.000111107618470145
468,0.00301817355211824,0.000111386197453503
469,0.00303654628107324,0.000112782262378117
470,0.00305777823319659,0.000113963401165707
471,0.0030769657890778,0.000114486129607141
472,0.00309469075640664,0.000115787246635382
473,0.00311185304890387,0.000116446592577202
474,0.00312852312228642,0.000117812778347155
475,0.00314585275831632,0.000120232973884351
476,0.00316975467605516,0.000118991846367023
477,0.00319483089610003,0.000118849930139776
478,0.00321881335112266,0.000120540479428312
479,0.00324061431456357,0.000121970730017356
480,0.00324790727929212,0.00012142899586765
481,0.00323811812559143,0.000120402372577186
482,0.00321070875739679,0.000119660277873062
483,0.00316331402165815,0.000118791615149598
484,0.00312468145042658,0.000116165177297014
485,0.00310287501430139,0.000114473377871814
486,0.00309883771697059,0.000116487387090263
487,0.00312162727233954,0.000116109362533934
488,0.00316050888039172,0.0001163588051703
489,0.00320415603928268,0.000117578802325746
490,0.00324235215550289,0.000117174553456417
491,0.0032779233250767,0.000117089369153851
492,0.00331190857687034,0.000117694390794475
493,0.00334568336373195,0.000118580676295876
494,0.00338359907036647,0.000118881866912991
495,0.0034122184314765,0.000120021214357277
496,0.00342899944284,0.000121094006453656
497,0.00343773388653062,0.000120506802838162
498,0.00343692221562378,0.000119366028463107
499,0.00343984197010286,0.000119437864010438
500,0.00345880088047124,0.000120839247605458
501,0.00350251256371848,0.000120160351943217
502,0.00356143028941005,0.000121445288927491
503,0.00363399472669698,0.000123509822359081
504,0.0037176508794073,0.000124728508227729
505,0.00379710091161542,0.000126444523019097
506,0.0038762201089412,0.000128145185690174
507,0.00395851463777944,0.000129701296055822
508,0.00404617978259921,0.000130465562554679
509,0.0041396850743331,0.000133373546739547
510,0.00423565928125754,0.00013614624412409
511,0.00432914815144613,0.000137065672098932
512,0.00441438566544093,0.000138430817464331
513,0.00448166186572053,0.000138882388893375
514,0.00454806551337242,0.000138679400021955
515,0.00464435202651657,0.000139431059114722
516,0.00478641515830532,0.000142370427334746
517,0.00498950734734535,0.000148026265850224
518,0.0052531666890718,0.00015609421385762
519,0.00555731020634994,0.000165800932581271
