"Wavelength","Rad_mean","Rad_sd"
350,0.00050345518469112,3.40697191276436e-05
351,0.000514558899914846,3.37953570978575e-05
352,0.000535209831083193,3.29745581296401e-05
353,0.000549665806465782,3.38003753429666e-05
354,0.000550285323522985,3.48171521315438e-05
355,0.000562477323168423,3.25110274212646e-05
356,0.000579822124331258,3.2264105156549e-05
357,0.00059418617625488,3.40935513301693e-05
358,0.000601064785732888,3.30443313305764e-05
359,0.000621737976558507,3.10672973309062e-05
360,0.000645215760916472,3.11569044131204e-05
361,0.000666584774618968,3.33943448405195e-05
362,0.000688700236030854,3.28980177126746e-05
363,0.00070808515988756,3.13428875477248e-05
364,0.000728819853859022,3.17448128512626e-05
365,0.000751455371268094,3.26063677549661e-05
366,0.000767302591702901,3.16264083677603e-05
367,0.000785627822973765,3.14033075503529e-05
368,0.000804569044266827,3.22596748047481e-05
369,0.000819551011431031,3.435691918174e-05
370,0.000829910209751688,3.39402554396753e-05
371,0.000842140953056514,3.38336924976429e-05
372,0.000854128536884673,3.44573646238178e-05
373,0.000859664175310172,3.44695330220416e-05
374,0.000870015698485076,3.46357588707348e-05
375,0.000880860133562237,3.52434314140147e-05
376,0.000889550299965777,3.65234090863438e-05
377,0.000898572636768222,3.56888400350042e-05
378,0.000907227510935627,3.41392873824037e-05
379,0.000916344560799189,3.45760952724469e-05
380,0.000925669012824073,3.59413542563821e-05
381,0.000929955536848865,3.58803875245501e-05
382,0.000935585864936002,3.62061397731507e-05
383,0.000944658940308727,3.71023913514475e-05
384,0.000955925394198857,3.74809152363184e-05
385,0.000964772123959847,3.66385200786308e-05
386,0.00098135817644652,3.71614903990565e-05
387,0.00100681750313379,3.89756844852379e-05
388,0.00102964612154756,3.81307184539268e-05
389,0.00104853237804491,3.85044336288487e-05
390,0.00106996849772986,3.98324277652459e-05
391,0.0010991282761097,4.0400523816625e-05
392,0.00113185771484859,3.95443666551928e-05
393,0.00117246865108609,4.07542094696575e-05
394,0.00121795066213235,4.4516959512627e-05
395,0.00126583870034665,4.76916469486716e-05
396,0.00134030452463776,4.6964723397763e-05
397,0.0014199416632764,4.70338102554078e-05
398,0.00149380561290309,4.96307810343554e-05
399,0.00156767173786648,5.20523332535607e-05
400,0.0016412552932743,5.28995909296666e-05
401,0.00170694806217216,5.41433023286306e-05
402,0.00175845789443702,5.69946518237112e-05
403,0.00179778301715851,5.77730350993237e-05
404,0.0018280344621744,5.90935322202357e-05
405,0.0018523359335959,6.12663308960822e-05
406,0.00187309012492187,6.3671988758013e-05
407,0.00188784984406084,6.37605823660594e-05
408,0.00191056751739234,6.4023199354421e-05
409,0.00194059662264772,6.53599686704657e-05
410,0.00196243277215399,6.69085651441358e-05
411,0.00198571494198404,6.61875759472108e-05
412,0.00201079278532416,6.58537271021785e-05
413,0.00203484551678412,6.64467859980078e-05
414,0.00205191766656935,6.71153243652772e-05
415,0.00206098906882107,6.77564603994445e-05
416,0.0020663360862527,6.89822260120293e-05
417,0.00207376997242682,7.00861769933556e-05
418,0.00208435336570255,7.02707456992375e-05
419,0.0020899030151777,7.05920004323476e-05
420,0.00208943567657843,7.11827649498093e-05
421,0.00208975897892378,7.08491255754073e-05
422,0.00208626406104304,7.02605688804398e-05
423,0.00207910820515826,6.98626446551014e-05
424,0.00206805026368238,6.9699434891611e-05
425,0.00204955092607997,6.94629010801728e-05
426,0.00203553352551535,6.92823990113146e-05
427,0.0020277942228131,6.91077329498151e-05
428,0.00202547104866244,6.89146385849505e-05
429,0.00204130372451618,6.94768780230763e-05
430,0.00206525894324295,6.97347528094606e-05
431,0.00209472818276845,6.98548502174245e-05
432,0.00213778287847526,7.05644171110705e-05
433,0.00218838301394135,7.16523106095148e-05
434,0.00223887153062969,7.39517002982137e-05
435,0.00228379014926031,7.71896273529745e-05
436,0.00232459246739745,7.85866473804022e-05
437,0.0023640801361762,7.96529152980681e-05
438,0.00240336246229708,8.10106507778016e-05
439,0.00244287124788389,8.26469613908634e-05
440,0.00248674043314531,8.32866531542268e-05
441,0.00252862553205341,8.40814180649865e-05
442,0.00256806451128796,8.53496711330936e-05
443,0.00261466288845986,8.55624547490548e-05
444,0.00265964997885749,8.63320262127397e-05
445,0.0026995785580948,8.6812628232016e-05
446,0.00273532120976597,8.63439321297988e-05
447,0.00277842909051105,8.63648795631883e-05
448,0.00281450365623459,8.61412008876124e-05
449,0.00284107592143118,8.62113299507948e-05
450,0.00286461892072111,8.79630752603174e-05
451,0.00288540955167264,8.92739462093348e-05
452,0.0029003110495396,9.03526451270237e-05
453,0.00291028201626614,9.15477095720906e-05
454,0.00292425785819069,9.30353913098425e-05
455,0.0029417958445847,9.41771885879153e-05
456,0.0029610038837418,9.49149387721975e-05
457,0.00298009748617187,9.50615585504264e-05
458,0.00300329792266712,9.50238418002003e-05
459,0.00302284060418606,9.49789287750808e-05
460,0.00303576263645664,9.51924453209431e-05
461,0.00304457185138017,9.56785530329531e-05
462,0.00305048913881183,9.50882210410422e-05
463,0.00305187458684668,9.41674637929174e-05
464,0.00304834969434887,9.35069555855918e-05
465,0.00304371768375859,9.25585170898427e-05
466,0.00303842471819371,9.11767450944396e-05
467,0.00303631391748786,9.01575548198402e-05
468,0.00304247918259352,9.06343906946409e-05
469,0.00305991224711761,9.17866469942306e-05
470,0.00307998327864334,9.30966632957648e-05
471,0.00309765859786421,9.44627381391224e-05
472,0.00311443552840501,9.63623384941372e-05
473,0.00313313272362575,9.82446949074425e-05
474,0.00315173147572204,9.98209293290091e-05
475,0.0031690836478956,0.000100899763597053
476,0.00319242368685082,0.000102369528854615
477,0.0032158409031108,0.000103432634189362
478,0.00323671714682132,0.000104138990486393
479,0.00325404222123325,0.000104791263205861
480,0.00325878521986306,0.000103326727293969
481,0.00324669127026573,0.000101983921294631
482,0.00321634772326797,0.0001018297761522
483,0.00316756544960663,0.000101086605979132
484,0.00312848216760904,0.000100449990083499
