"Wavelength","Rad_mean","Rad_sd"
350,0.0140819863742217,0.000491623465632423
351,0.0144759425707161,0.000509661305624719
352,0.0148224718077108,0.000521256528469474
353,0.0151516537973657,0.000531402937477889
354,0.0154963746946305,0.000545152308629254
355,0.0157684995653108,0.000556959613844549
356,0.0162217317475006,0.000570817030258953
357,0.0167265714239329,0.000584571154558225
358,0.0170749743562192,0.000596247432940008
359,0.0176575279096141,0.000618189353013491
360,0.018260488412343,0.000643130951156938
361,0.0188441026303917,0.000668278628042113
362,0.0195609014807269,0.000697135838875431
363,0.0203153649531305,0.000735464037497662
364,0.0210225024539977,0.000769939158065113
365,0.0216384741012007,0.000793440061935577
366,0.0222034932486713,0.000817195243842835
367,0.0226488970592618,0.000830467653733632
368,0.0230602686479688,0.000839324174375546
369,0.0235040163528174,0.000851120451351772
370,0.0237421318050474,0.000856573439945697
371,0.024055285891518,0.000863149871919252
372,0.0243925061635673,0.000871330660527497
373,0.0245270934328437,0.000877969238300456
374,0.0248175055906177,0.00088934041689478
375,0.0251237996201962,0.000898598094941278
376,0.0253783044870943,0.00090365223443099
377,0.0257074667979032,0.000911527828781004
378,0.0259387408010662,0.000922757229803649
379,0.0260326795838773,0.000931389042143582
380,0.0260413707140833,0.000931850692849788
381,0.026163017237559,0.00092575246676288
382,0.0262676469329745,0.000916035298006546
383,0.0264262927416712,0.000911579544346088
384,0.0267868708074093,0.000922447797682001
385,0.027215469321236,0.000945584754010768
386,0.0278006383124739,0.000977146040749002
387,0.028536166921258,0.00101270943103297
388,0.0292777720931917,0.00104715039234779
389,0.0299858481157571,0.00106941387189989
390,0.0306867652386427,0.00108631391726398
391,0.0314411709923297,0.00110605743556173
392,0.0323397620394826,0.00112688699207856
393,0.0334539104718715,0.00115503889717889
394,0.0348549002967775,0.00119595948194166
395,0.0366130012180656,0.00125577437719556
396,0.0388564691226929,0.00134929317757173
397,0.041359246596694,0.00145910851396145
398,0.0439572077989578,0.00157242303624097
399,0.0466209371760488,0.00168617277934441
400,0.0490675025619566,0.00178862461499341
401,0.0511961086280644,0.00187440398767409
402,0.0529517256096005,0.00193842320556188
403,0.054316740911454,0.00197235461938264
404,0.055248340703547,0.00198697848178252
405,0.0560192514583468,0.00199644421924591
406,0.0569434928521514,0.0020137978017686
407,0.057702057287097,0.00203656895060202
408,0.058608450833708,0.00207428666461428
409,0.0596935324557126,0.00212280909963656
410,0.0606732038222253,0.00216417964650388
411,0.0617168439179659,0.00220333712905108
412,0.0626824055612087,0.00223529039556196
413,0.0634846606105566,0.00225982617687495
414,0.0643264376372099,0.00229247763644756
415,0.0649388240464032,0.00231731260719134
416,0.0653825747594237,0.00233256386497192
417,0.0658335562981665,0.00234346662748813
418,0.0662776646576822,0.00235885652748473
419,0.0666150721721351,0.00237095176994378
420,0.0668599539250135,0.00238069050380889
421,0.0671395966038108,0.00239851963996289
422,0.0672273236513138,0.00241235936077006
423,0.0672062904946506,0.00241660015626472
424,0.0670996780134737,0.00240573455601909
425,0.0666054565273225,0.00236828500203959
426,0.0662009191326797,0.00233808394212237
427,0.0660343707352877,0.00232463976181083
428,0.0661335859820247,0.00232607604391254
429,0.0667126791924238,0.00234382846664675
430,0.0677427954226732,0.00238275217998267
431,0.0691869812645018,0.00244743397207175
432,0.071025224942714,0.00254144469407145
433,0.0730861032381654,0.00264061773780481
434,0.0750425622239709,0.00272390478232126
435,0.0766749258153141,0.00278121386321115
436,0.0781264857016504,0.00282620628982206
437,0.0795390990003943,0.00287436805344654
438,0.0809851092286408,0.0029274428144435
439,0.0824912215396762,0.00298010083656863
440,0.0841113524511456,0.00304143111908647
441,0.0857468880712986,0.00311125233439432
442,0.0873461759462953,0.00318409342396735
443,0.0889522441476583,0.00324922401947676
444,0.0904955507069826,0.00330225999201955
445,0.0919749499112368,0.00335052002457417
446,0.0934202871471643,0.00340374532474362
447,0.0949043658748269,0.00346660141939763
